@RELATION Dataset

@ATTRIBUTE brand {Acer, Apple, Asus, Casper, Dell, HP, Lenovo, Monster, MSI}
@ATTRIBUTE product_line {Zenbook,E402NA,VivoBook,VivoBook_Max,VivoBook_Max_,X550,15,250,A5,A7,Alienware?,APACHE_PRO,Aspire,EliteBook,EliteBook_,ENVY,Excalibur,G,GE62,GE72,GL552VW,GP62,GP72,GT72,Ideapad,Inspiron,K,K555,Latitude,Legion,Leopard,MacBook,MacBook_Air,MacBook_Pro,Nirvana,Pavilio,Pavilion,PE60,Precision,Pro_Advanced,PX60,R510VX,ROG,Spectre,T,T5,T7,ThinkPad,ThinkPad_X,Titan,Transformer,undefined,X502NA,Y,Yoga,Zbook,ZenBook}
@ATTRIBUTE model {B551LG_CN015,E402NA_GA071,F541UJ_GO323T,GL753VD_GC024T,K555LB_XO408T,K555UB_XO066T,K555UB_XO097T,K555UB_XO264T,K555UQ_DM024TC,K555VJ_SX077D,K556UQ_XX559T,S510UR_BQ050,X541UA_DM1296D,X541UA_GO1374D,X541UJ_GO454,X541UJ_GO456,X541UV_XX119T,X550VX_DM248TC,100,13_D000NT,14_N201ST,15_AU001NT,15_AU112NT,15_AU119NT,15_G3,15_K202NT,17,300,300?,3558,3567,430_G2,450_G2,510,520,5200U,5547,5558,5567,6QD_634TR,6QE_443TR,6QE_487XTR,6QE_675TR,6QE_842XTR,6QF_442TR,6QF_674TR,700,710,7200U,7567?,7RD_042XTR,7RD_065XTR,7RD_206XTR,820_G1_H5G14ET,820_G3,840,840_G2,840_G3,850_G2,AC004NT,AC104NT,AC119NT,AF002NT,AF013NT,Arba,Arbe,Aspire_E5_571,Aspire_E5_571_37A0,Aspire_ES1_331_C0V4,Aspire_V3_572G,Aspire_VN7_791G_51PZ,Aspire_VX_15_VX5_591G_54VG,BA003NT,Book_Flip_TP300LJ_C4040H,C600,C710,C7K,Carbon,Carbon_(4),CARBON_X1,CHY,CN.G7K,E402SA_WX167D,E450,E470,e540,E5450,E550,F541U,Flip_UX360UAK_DQ264T,Flip_UX360UA_DQ210T,Folio_1020_G1,FX550,G1,G5070,G5080,G510,G580,Gaming_15_ak002NT,Gaming_15_BC001NT,Model, ,ge60,GE60_2OE_295XTR,GE70_2QE,GE72_6QD_801XTR,GL62m_7RDX,Gp60,gt73vr_6re,GT_70?,K55VJ,M4800,MBP_Z0QN0009X,MD711TU/A,MF840TU/A,MJLT2TU/A,MJVE2TU/A,MLHF2TU/A,MMGG2TU/A,N750JK,NV_550JV,PE70_6QE,PL62,R202NT,R510VX_DM762,ROG,T510,T550,Tulpar,undefined,UX303UB_R4088T,UX303UB_R4096T,UX32LN,w530,X1_Yoga,X250,X260,X270,X2_10_K001NT,x2_10_N200NT,x2_12_A001NT,x2_13_j099NT,x360_13_s100NT,x360_15_w100NT,X502NA_GO044,X541UJ_GO058T,X550LC,X550v,X550VX,X550VX_DM254DC,X550VX_DM504,Y5070,Y510P,Y520,Yoga_900,Z0QP16512,Z500,Z500T,Z5070,Z510,Z520}
@ATTRIBUTE product_type {Notebook, UltraBook, 2_in_1}
@ATTRIBUTE product_purpose {Gaming, General, undefined}
@ATTRIBUTE screen_size numeric
@ATTRIBUTE screen_resolution {FHD, HD, HD+, QHD, QHD+, undefined}
@ATTRIBUTE cpu_line {Intel_Core_i3, Intel_Core_i5, Intel_Core_i7, AMD_A, Intel_Atom, Intel_Celeron, Intel_Core_i7_Extreme, Intel_Core_M, Intel_Core_M3, undefined}
@ATTRIBUTE cpu_frequincy numeric
@ATTRIBUTE cpu_model {3630QM,,4650U,5500U,6006U,6200U,6500U,7200U,7700HQ,N3060,2520m,3110M,3210QM,3230M,3630qm,3720QM,4005U,4030U,4200M,4200U,4210H,4210U,4500U,4510U,4600U,4700HQ,4700MQ,4702MQ,4702QM,4710HQ,4710MQ,4710_HQ,4720hq,4720_HQ,4870HQ,4910MQ,5005U,5200U,5250U,5257U,5600U,5Y10c,630QM,6600U,6700HQ,6700_HQ,6820HQ,6820K?,6Y30,7100U,7300HQ,7500U,7700,7700U,7700_HQ,770HQ,8250U,A6-6310,A8-7410,M5-6Y54,M520,N3050,N3350,undefined,Z3736F}
@ATTRIBUTE cpu_core_number numeric
@ATTRIBUTE ram numeric
@ATTRIBUTE ssd numeric
@ATTRIBUTE hdd numeric
@ATTRIBUTE external_graphic_card_brand {AMD, Intel, Ndivia, no, Nvidia, undefined}
@ATTRIBUTE external_graphic_card_model {GTX_960M,GeForce_GTX,RADEON_R5_M330,GeForce_920M,GeForce_930MX,GeForce_940M,,GeForce_940MX,GeForce_GTX_1050,GeForce_GTX_950M,GeForce_GT_635M,840M,GEFORCE_645m,GeForce_740M,GeForce_820M,GeForce_840M,GeForce_920MX,GeForce_930M,GeForce_GT740M_,GeForce_GT940MX,GeForce_GTCX1050,GeForce_GTX1050,GeForce_GTX1050_,GeForce_GTX1060,GeForce_GTX1070,GeForce_GTX940M,GeForce_GTX950M,GeForce_GTX960M,GeForce_GTX960_M,GeForce_GTX970M,GeForce_GTX_1050_Ti,GeForce_GTX_1060,GeForce_GTX_107,GeForce_GTX_850M,GeForce_GTX_860M,GeForce_GTX_960M,GeForce_GT_720M,GeForce_GT_740M,GeForce_GT_755M,GeForce_GT_960M,GeForce_MX150,GT610M,GT630M,GT840M,GTX680M,GTX765M,GTX_1070,GTX_660m,GTX_950M,GTX_960,GTX_960m,Gt_820_m,Gt_840m,Gt_940_mx,no,NVIDIA_GeForce_GTX,Quadro_K2000M,Quadro_K2100M,Quadro_M2000M,Radeon_HD8570M,Radeon_HD_8670M,Radeon_R5_M230,Radeon_R5_M255,Radeon_R5_M330,Radeon_R5_M331,Radeon_R5_M332,Radeon_R5_M333,Radeon_R5_M334,Radeon_R5_M430,Radeon_R7_M265,Radeon_R7_M445,undefined}
@ATTRIBUTE external_graphic_card_memory numeric
@ATTRIBUTE price numeric

@DATA
"Asus","Pro_Advanced","B551LG_CN015","Notebook","General","15.6","HD","Intel_Core_i7","1.7","4650U","2","8",?,"1000","Nvidia","GeForce_840M","1","652.00"
"Monster","T7","Tulpar","Notebook","Gaming","17.3","FHD","Intel_Core_i7","4.2","7700_HQ",?,"16",?,?,"Nvidia","GeForce_GTX_107","16","8600.00"
"Asus","Transformer","Book_Flip_TP300LJ_C4040H","2_in_1","General","13.3","FHD","Intel_Core_i5","2.2","5200U","2","6",?,"1000","Nvidia","GeForce_920M","2","2350.00"
"Asus","undefined","F541UJ_GO323T","Notebook","General","15.6","HD","Intel_Core_i5","2.5","7200U","2","8",?,"1000","Nvidia","GeForce_920M","2","2390.00"
"Asus","K555","K555UB_XO066T","Notebook","General","15.6","HD","Intel_Core_i5","2.3","6200U","2","8",?,"1000","Nvidia","GeForce_940M","2","2390.00"
"Asus","K555","K556UQ_XX559T","Notebook","General","15.6","HD","Intel_Core_i5","2.5","7200U","2","8",?,"1000","Nvidia","GeForce_940MX","2","2599.00"
"Asus","K555","K555UB_XO264T","Notebook","General","15.6","HD","Intel_Core_i7","2.5","6500U","2","12",?,"1000","Nvidia","GeForce_940M","2","3249.00"
"Asus","K555","K555UQ_DM024TC","Notebook","General","15.6","HD","Intel_Core_i7","2.5","6500U","4","12",?,"1000","Nvidia","GeForce_940MX","2","3090.00"
"Acer","Aspire","Aspire_VN7_791G_51PZ","Notebook","General","17.3","FHD","Intel_Core_i5","2.9","4210H","2","8",?,"1000","Nvidia","GeForce_GTX_960M","2","2425.00"
"Asus","X550","X550VX_DM504","Notebook","General","15.6","FHD","Intel_Core_i7","2.8","7700HQ","4","4",?,"1000","Nvidia","GeForce_GTX_950M","2","3290.00"
"Asus","ZenBook","UX303UB_R4096T","UltraBook","General","13.3","FHD","Intel_Core_i5","2.3","6200U","2","4",?,"1000","Nvidia","GeForce_940M","2","4200.00"
"MSI","PX60","6QE_487XTR","Notebook","General","15.6","FHD","Intel_Core_i7","2.6","6700HQ","4","8","128","1000","Nvidia","GeForce_GTX_960M","2","3989.00"
"Monster","A5","Arba","Notebook","Gaming","15.6","FHD","Intel_Core_i7","2.5","4710HQ",?,"8",?,"1000","Nvidia","GeForce_GTX1050","2","1900.00"
"MSI","GP62","6QE_675TR","Notebook","Gaming","15.6","FHD","Intel_Core_i7","2.6","6700HQ","4","8",?,"1000","Nvidia","GeForce_GTX_950M","2","3650.00"
"MSI","GP62","6QE_675TR","Notebook","Gaming","15.6","FHD","Intel_Core_i7","2.6","6700HQ","4","8",?,"1000","Nvidia","GeForce_GTX_950M","2","3650.00"
"MSI","GP72","6QE_443TR","Notebook","Gaming","17.3","FHD","Intel_Core_i7","2.6","6700HQ","4","8",?,"1000","Nvidia","GeForce_GTX_950M","2","3890.00"
"MSI","PE60","6QE_842XTR","Notebook","Gaming","15.6","FHD","Intel_Core_i7","2.6","6700HQ","4","16",?,"1000","Nvidia","GeForce_GTX_960M","2","3890.00"
"Asus","K555","K555LB_XO408T","Notebook","General","15.6","HD","Intel_Core_i7","2.4","5500U","2","8",?,"2000","Nvidia","GeForce_940M","2","3050.00"
"Acer","Aspire","Aspire_V3_572G","Notebook","General","15.6","HD","Intel_Core_i3","1.7","4005U","2","4",?,"500","Nvidia","GeForce_820M","2","1599.00"
"Asus","VivoBook_Max","X541UJ_GO058T","Notebook","General","15.6","HD","Intel_Core_i5","2.5","7200U","2","4",?,"500","Nvidia","GeForce_920M","2","2190.00"
"Asus","VivoBook_Max","X541UJ_GO454","Notebook","General","15.6","HD","Intel_Core_i5","2.5","7200U","2","4",?,"500","Nvidia","GeForce_920M","2","2190.00"
"Asus","VivoBook_Max","X541UJ_GO456","Notebook","General","15.6","HD","Intel_Core_i5","2.5","7200U","2","4",?,"500","Nvidia","GeForce_920M","2","2399.00"
"Asus","VivoBook_Max","X541UV_XX119T","Notebook","General","15.6","HD","Intel_Core_i5","2.3","6200U","2","4",?,"500","Nvidia","GeForce_920MX","2","2190.00"
"Asus","K555","K555UB_XO097T","Notebook","General","15.6","HD","Intel_Core_i5","2.3","6200U","2","4",?,"500","Nvidia","GeForce_940M","2","2150.00"
"Asus","undefined","K555VJ_SX077D","Notebook","General","15.6","HD","Intel_Core_i7","2.4","3630QM","4","8",?,"750","Nvidia","GeForce_GT_635M","2","2150.00"
"Asus","VivoBook","S510UR_BQ050","Notebook","General","15.6","FHD","Intel_Core_i7","2.7","7500U","2","8","256",?,"Nvidia","GeForce_930MX","2","3590.00"
"Asus","ZenBook","UX303UB_R4088T","UltraBook","General","13.3","FHD","Intel_Core_i7","2.5","6500U","2","8","256",?,"Nvidia","GeForce_940M","2","3990.00"
"Monster","A5","Arbe","Notebook","Gaming","15.6","FHD","Intel_Core_i5","2.5","4710MQ",?,"8",?,?,"Nvidia","GeForce_GTX960M","2","2200.00"
"Monster","A5","Arba","Notebook","Gaming","15.6","FHD","Intel_Core_i7","2.6","4720_HQ",?,"8",?,?,"Nvidia","GeForce_GTX960M","2","2600.00"
"Monster","A7","Arba","Notebook","Gaming","17.3","FHD","Intel_Core_i7","3.2","4710_HQ",?,"8",?,?,"Nvidia","GeForce_GTX1050","2","3100.00"
"Monster","A7","Arba","Notebook","Gaming","17.3","FHD","Intel_Core_i7","2.6","6700_HQ",?,"8",?,?,"Nvidia","GeForce_GTX960M","2","3000.00"
"Monster","undefined","undefined","Notebook","Gaming","15.6","FHD","Intel_Core_i7","2.4","7700_HQ",?,"8",?,?,"Nvidia","GeForce_GTX1050_","2","3000.00"
"Monster","T5","Tulpar","Notebook","Gaming","15.6","FHD","Intel_Core_i7","3.5","4710_HQ",?,"16","128",?,"Nvidia","GeForce_GTX1060","3","3600.00"
"Monster","T5","Tulpar","Notebook","Gaming","15.6","FHD","Intel_Core_i7","2.5","4710_HQ",?,"12",?,?,"Nvidia","GeForce_GTX970M","3","3500.00"
